"K-117630","fig_3604","1.0"
"K-108808","fig_4224","1.0"
"K-117183","fig_31488","1.0"
"K-104543","fig_17872","1.0"
"K-100630","fig_11209","1.0"
"K-116642","fig_11153","0.9399999856948853"
"K-110413","fig_31159","1.0"
"K-104312","fig_24739","1.0"
"K-120323","fig_11","0.9666666507720947"
"K-118024","fig_36058","1.0"
"K-100891","fig_8799","1.0"
"K-109736","fig_29944","0.899999988079071"
"K-123005","fig_2567","0.9666666507720947"
"K-111431","fig_19328","1.0"
"K-100864","fig_9696","1.0"
"K-113628","fig_6483","0.9625"
"K-113056","fig_11456","1.0"
"K-104279","fig_19264","0.925"
"K-109251","fig_30877","1.0"
"K-124700","fig_21178","1.0"
"K-107552","fig_4601","1.0"
"K-120833","fig_34958","1.0"
"K-105889","fig_18045","1.0"
"K-104071","fig_9468","1.0"
"K-105206","fig_9795","0.9142857193946838"
"K-123778","fig_23629","1.0"
"K-123615","fig_32106","0.9625"
"K-100273","fig_13069","1.0"
"K-109789","fig_11932","0.9499999761581421"
"K-108385","fig_4855","1.0"
"K-114798","fig_1283","1.0"
"K-121798","fig_7861","0.9499999761581421"
"K-115530","fig_31515","1.0"
"K-109673","fig_1752","1.0"
"K-102989","fig_6124","1.0"
"K-121664","fig_3006","0.9399999856948853"
"K-118640","fig_26216","1.0"
"K-117810","fig_15852","0.9499999761581421"
"K-126150","fig_32251","0.9828571438789367"
"K-115431","fig_27705","0.925"
"K-114104","fig_12268","1.0"
"K-112256","fig_20003","1.0"
"K-100538","fig_6927","1.0"
"K-101497","fig_24324","1.0"
"K-112812","fig_26250","1.0"
"K-123426","fig_6150","1.0"
"K-112171","fig_30254","1.0"
"K-121397","fig_24677","0.8666666746139526"
"K-104421","fig_32698","1.0"
"K-118968","fig_22582","0.85"
"K-114780","fig_347","1.0"
"K-119408","fig_28714","0.9749999880790711"
"K-103127","fig_29620","0.85"
"K-106903","fig_6114","1.0"
"K-100796","fig_31314","0.900000023841858"
"K-104183","fig_15640","1.0"
"K-105863","fig_16510","1.0"
"K-116025","fig_15930","0.9625"
"K-124157","fig_12871","1.0"
"K-116885","fig_35132","1.0"
"K-116964","fig_31472","1.0"
"K-124216","fig_4163","1.0"
"K-108528","fig_24942","1.0"
"K-116230","fig_21028","1.0"
"K-118577","fig_13903","1.0"
"K-112055","fig_11494","0.925"
"K-109671","fig_31425","1.0"
"K-117522","fig_7745","0.85"
"K-103237","fig_20469","0.853333342075348"
"K-111699","fig_416","1.0"
"K-125727","fig_24257","0.900000023841858"
"K-124144","fig_18315","1.0"
"K-109646","fig_21829","1.0"
"K-114041","fig_35208","0.8800000071525573"
"K-121741","fig_32863","0.9625"
"K-121338","fig_32790","1.0"
"K-124856","fig_14314","1.0"
"K-114194","fig_8774","1.0"
"K-124749","fig_26977","1.0"
"K-103325","fig_30771","1.0"
"K-119099","fig_26009","1.0"
"K-105423","fig_28845","0.9499999761581421"
"K-106998","fig_6140","1.0"
"K-107248","fig_5965","1.0"
"K-126347","fig_7469","1.0"
"K-124443","fig_34952","1.0"
"K-104922","fig_5658","0.9571428775787354"
"K-110770","fig_23216","1.0"
"K-123523","fig_14015","1.0"
"K-122141","fig_31055","1.0"
"K-121481","fig_12299","1.0"
"K-115396","fig_16987","1.0"
"K-117118","fig_15251","1.0"
"K-121592","fig_20984","1.0"
"K-125895","fig_21863","1.0"
"K-118340","fig_21968","1.0"
"K-125778","fig_18863","0.8574999928474426"
"K-104397","fig_24720","1.0"
"K-106142","fig_15564","1.0"
"K-119324","fig_5997","1.0"
"K-105093","fig_32907","0.8649999856948852"
"K-116725","fig_2364","0.9828571438789367"
"K-114448","fig_25209","1.0"
"K-119660","fig_3574","1.0"
"K-110142","fig_3330","1.0"
"K-116261","fig_7395","1.0"
"K-109921","fig_934","0.925"
"K-110334","fig_15045","0.9499999761581421"
"K-117447","fig_15398","1.0"
"K-123816","fig_5608","0.950000011920929"
"K-105326","fig_6823","0.9840000152587891"
"K-125719","fig_33136","1.0"
"K-124265","fig_15066","1.0"
"K-110090","fig_10160","0.9440000176429748"
"K-100861","fig_19199","1.0"
"K-119663","fig_6999","0.900000023841858"
"K-101900","fig_12601","1.0"
"K-111614","fig_23260","1.0"
"K-124844","fig_9649","1.0"
"K-110729","fig_3141","0.899999988079071"
"K-106555","fig_3129","1.0"
"K-122272","fig_6061","1.0"
"K-125929","fig_23191","1.0"
"K-115620","fig_12582","1.0"
"K-103281","fig_34594","0.9699999928474426"
"K-117244","fig_16096","0.9399999856948853"
"K-114937","fig_28280","0.950000011920929"
"K-109512","fig_16485","0.9666666507720947"
"K-113959","fig_7645","1.0"
"K-118489","fig_9184","1.0"
"K-123446","fig_785","1.0"
"K-118087","fig_36709","0.925"
"K-108300","fig_14993","1.0"
"K-103868","fig_26237","0.8833333492279053"
